,Region,Year,Series_x,Value_x,Series_y,Value_y
1587,Bahamas,2005,"Theft at the national level, rate per 100,000 population",446.15,Gross enrollment ratio - Primary (female),98.8475
1589,Bahamas,2005,"Theft at the national level, rate per 100,000 population",446.15,Gross enrollment ratio - Secondary (male),88.8174
1590,Bahamas,2005,"Theft at the national level, rate per 100,000 population",446.15,Gross enrollment ratio - Secondary (female),88.0972
1592,Bahamas,2005,"Total Sexual Violence at the national level, rate per 100,000",135.077,Gross enrollment ratio - Primary (male),101.9396
1593,Bahamas,2005,"Total Sexual Violence at the national level, rate per 100,000",135.077,Gross enrollment ratio - Primary (female),98.8475
1595,Bahamas,2005,"Total Sexual Violence at the national level, rate per 100,000",135.077,Gross enrollment ratio - Secondary (male),88.8174
1596,Bahamas,2005,"Total Sexual Violence at the national level, rate per 100,000",135.077,Gross enrollment ratio - Secondary (female),88.0972
1598,Bahamas,2010,"Intentional homicide rates per 100,000",26.4836,Gross enrollment ratio - Primary (male),89.86
1599,Bahamas,2010,"Intentional homicide rates per 100,000",26.4836,Gross enrollment ratio - Primary (female),88.0004
1601,Bahamas,2010,"Intentional homicide rates per 100,000",26.4836,Gross enrollment ratio - Secondary (male),87.5621
1602,Bahamas,2010,"Intentional homicide rates per 100,000",26.4836,Gross enrollment ratio - Secondary (female),91.1598
1604,Bahamas,2010,"Percentage of male and female intentional homicide victims, Male",46.5097,Gross enrollment ratio - Primary (male),89.86
1605,Bahamas,2010,"Percentage of male and female intentional homicide victims, Male",46.5097,Gross enrollment ratio - Primary (female),88.0004
1607,Bahamas,2010,"Percentage of male and female intentional homicide victims, Male",46.5097,Gross enrollment ratio - Secondary (male),87.5621
1608,Bahamas,2010,"Percentage of male and female intentional homicide victims, Male",46.5097,Gross enrollment ratio - Secondary (female),91.1598
1610,Bahamas,2010,"Percentage of male and female intentional homicide victims, Female",7.6532,Gross enrollment ratio - Primary (male),89.86
1611,Bahamas,2010,"Percentage of male and female intentional homicide victims, Female",7.6532,Gross enrollment ratio - Primary (female),88.0004
1613,Bahamas,2010,"Percentage of male and female intentional homicide victims, Female",7.6532,Gross enrollment ratio - Secondary (male),87.5621
1614,Bahamas,2010,"Percentage of male and female intentional homicide victims, Female",7.6532,Gross enrollment ratio - Secondary (female),91.1598
1616,Bahamas,2010,"Assault rate per 100,000 population",862.82,Gross enrollment ratio - Primary (male),89.86
1617,Bahamas,2010,"Assault rate per 100,000 population",862.82,Gross enrollment ratio - Primary (female),88.0004
1619,Bahamas,2010,"Assault rate per 100,000 population",862.82,Gross enrollment ratio - Secondary (male),87.5621
1620,Bahamas,2010,"Assault rate per 100,000 population",862.82,Gross enrollment ratio - Secondary (female),91.1598
1622,Bahamas,2010,"Kidnapping at the national level, rate per 100,000",5.071,Gross enrollment ratio - Primary (male),89.86
1623,Bahamas,2010,"Kidnapping at the national level, rate per 100,000",5.071,Gross enrollment ratio - Primary (female),88.0004
1625,Bahamas,2010,"Kidnapping at the national level, rate per 100,000",5.071,Gross enrollment ratio - Secondary (male),87.5621
1626,Bahamas,2010,"Kidnapping at the national level, rate per 100,000",5.071,Gross enrollment ratio - Secondary (female),91.1598
1628,Bahamas,2010,"Theft at the national level, rate per 100,000 population",554.65,Gross enrollment ratio - Primary (male),89.86
1629,Bahamas,2010,"Theft at the national level, rate per 100,000 population",554.65,Gross enrollment ratio - Primary (female),88.0004
1631,Bahamas,2010,"Theft at the national level, rate per 100,000 population",554.65,Gross enrollment ratio - Secondary (male),87.5621
1632,Bahamas,2010,"Theft at the national level, rate per 100,000 population",554.65,Gross enrollment ratio - Secondary (female),91.1598
1634,Bahamas,2010,"Robbery at the national level, rate per 100,000 population",94.648,Gross enrollment ratio - Primary (male),89.86
1635,Bahamas,2010,"Robbery at the national level, rate per 100,000 population",94.648,Gross enrollment ratio - Primary (female),88.0004
1637,Bahamas,2010,"Robbery at the national level, rate per 100,000 population",94.648,Gross enrollment ratio - Secondary (male),87.5621
1638,Bahamas,2010,"Robbery at the national level, rate per 100,000 population",94.648,Gross enrollment ratio - Secondary (female),91.1598
1640,Bahamas,2010,"Total Sexual Violence at the national level, rate per 100,000",87.042,Gross enrollment ratio - Primary (male),89.86
1641,Bahamas,2010,"Total Sexual Violence at the national level, rate per 100,000",87.042,Gross enrollment ratio - Primary (female),88.0004
1643,Bahamas,2010,"Total Sexual Violence at the national level, rate per 100,000",87.042,Gross enrollment ratio - Secondary (male),87.5621
1644,Bahamas,2010,"Total Sexual Violence at the national level, rate per 100,000",87.042,Gross enrollment ratio - Secondary (female),91.1598
1661,Bahrain,2005,"Intentional homicide rates per 100,000",0.4499,Gross enrollment ratio - Primary (male),94.1298
1662,Bahrain,2005,"Intentional homicide rates per 100,000",0.4499,Gross enrollment ratio - Primary (female),97.5083
1664,Bahrain,2005,"Intentional homicide rates per 100,000",0.4499,Gross enrollment ratio - Secondary (male),91.4696
1665,Bahrain,2005,"Intentional homicide rates per 100,000",0.4499,Gross enrollment ratio - Secondary (female),101.4538
1667,Bahrain,2005,"Intentional homicide rates per 100,000",0.4499,Gross enrollment ratio - Tertiary (male),13.0099
1668,Bahrain,2005,"Intentional homicide rates per 100,000",0.4499,Gross enrollment ratio - Tertiary (female),39.8646
1670,Bahrain,2005,"Assault rate per 100,000 population",396.85,Gross enrollment ratio - Primary (male),94.1298
1671,Bahrain,2005,"Assault rate per 100,000 population",396.85,Gross enrollment ratio - Primary (female),97.5083
1673,Bahrain,2005,"Assault rate per 100,000 population",396.85,Gross enrollment ratio - Secondary (male),91.4696
1674,Bahrain,2005,"Assault rate per 100,000 population",396.85,Gross enrollment ratio - Secondary (female),101.4538
1676,Bahrain,2005,"Assault rate per 100,000 population",396.85,Gross enrollment ratio - Tertiary (male),13.0099
1677,Bahrain,2005,"Assault rate per 100,000 population",396.85,Gross enrollment ratio - Tertiary (female),39.8646
1679,Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.35,Gross enrollment ratio - Primary (male),94.1298
1680,Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.35,Gross enrollment ratio - Primary (female),97.5083
1682,Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.35,Gross enrollment ratio - Secondary (male),91.4696
1683,Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.35,Gross enrollment ratio - Secondary (female),101.4538
1685,Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.35,Gross enrollment ratio - Tertiary (male),13.0099
1686,Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.35,Gross enrollment ratio - Tertiary (female),39.8646
1688,Bahrain,2005,"Theft at the national level, rate per 100,000 population",1086.5,Gross enrollment ratio - Primary (male),94.1298
1689,Bahrain,2005,"Theft at the national level, rate per 100,000 population",1086.5,Gross enrollment ratio - Primary (female),97.5083
1691,Bahrain,2005,"Theft at the national level, rate per 100,000 population",1086.5,Gross enrollment ratio - Secondary (male),91.4696
1692,Bahrain,2005,"Theft at the national level, rate per 100,000 population",1086.5,Gross enrollment ratio - Secondary (female),101.4538
1694,Bahrain,2005,"Theft at the national level, rate per 100,000 population",1086.5,Gross enrollment ratio - Tertiary (male),13.0099
1695,Bahrain,2005,"Theft at the national level, rate per 100,000 population",1086.5,Gross enrollment ratio - Tertiary (female),39.8646
1706,Bahrain,2010,"Intentional homicide rates per 100,000",0.8865,Gross enrollment ratio - Secondary (male),92.2203
1707,Bahrain,2010,"Intentional homicide rates per 100,000",0.8865,Gross enrollment ratio - Secondary (female),93.5099
1709,Bahrain,2014,"Intentional homicide rates per 100,000",0.5239,Gross enrollment ratio - Primary (male),99.1327
1710,Bahrain,2014,"Intentional homicide rates per 100,000",0.5239,Gross enrollment ratio - Primary (female),100.3515
1712,Bahrain,2014,"Intentional homicide rates per 100,000",0.5239,Gross enrollment ratio - Secondary (male),98.6722
1713,Bahrain,2014,"Intentional homicide rates per 100,000",0.5239,Gross enrollment ratio - Secondary (female),99.2258
1715,Bahrain,2014,"Intentional homicide rates per 100,000",0.5239,Gross enrollment ratio - Tertiary (male),29.0877
1716,Bahrain,2014,"Intentional homicide rates per 100,000",0.5239,Gross enrollment ratio - Tertiary (female),57.5447
1718,Bangladesh,2005,"Intentional homicide rates per 100,000",2.5835,Gross enrollment ratio - Primary (male),99.4306
1719,Bangladesh,2005,"Intentional homicide rates per 100,000",2.5835,Gross enrollment ratio - Primary (female),103.9545
1721,Bangladesh,2005,"Intentional homicide rates per 100,000",2.5835,Gross enrollment ratio - Secondary (male),45.5096
1722,Bangladesh,2005,"Intentional homicide rates per 100,000",2.5835,Gross enrollment ratio - Secondary (female),48.477
1724,Bangladesh,2005,"Intentional homicide rates per 100,000",2.5835,Gross enrollment ratio - Tertiary (male),8.4177
1725,Bangladesh,2005,"Intentional homicide rates per 100,000",2.5835,Gross enrollment ratio - Tertiary (female),4.398
1727,Bangladesh,2005,"Assault rate per 100,000 population",0.41,Gross enrollment ratio - Primary (male),99.4306
1728,Bangladesh,2005,"Assault rate per 100,000 population",0.41,Gross enrollment ratio - Primary (female),103.9545
1730,Bangladesh,2005,"Assault rate per 100,000 population",0.41,Gross enrollment ratio - Secondary (male),45.5096
1731,Bangladesh,2005,"Assault rate per 100,000 population",0.41,Gross enrollment ratio - Secondary (female),48.477
1733,Bangladesh,2005,"Assault rate per 100,000 population",0.41,Gross enrollment ratio - Tertiary (male),8.4177
1734,Bangladesh,2005,"Assault rate per 100,000 population",0.41,Gross enrollment ratio - Tertiary (female),4.398
1736,Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.937,Gross enrollment ratio - Primary (male),99.4306
1737,Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.937,Gross enrollment ratio - Primary (female),103.9545
1739,Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.937,Gross enrollment ratio - Secondary (male),45.5096
1740,Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.937,Gross enrollment ratio - Secondary (female),48.477
1742,Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.937,Gross enrollment ratio - Tertiary (male),8.4177
1743,Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.937,Gross enrollment ratio - Tertiary (female),4.398
1745,Bangladesh,2005,"Theft at the national level, rate per 100,000 population",9.02,Gross enrollment ratio - Primary (male),99.4306
1746,Bangladesh,2005,"Theft at the national level, rate per 100,000 population",9.02,Gross enrollment ratio - Primary (female),103.9545
1748,Bangladesh,2005,"Theft at the national level, rate per 100,000 population",9.02,Gross enrollment ratio - Secondary (male),45.5096
1749,Bangladesh,2005,"Theft at the national level, rate per 100,000 population",9.02,Gross enrollment ratio - Secondary (female),48.477
1751,Bangladesh,2005,"Theft at the national level, rate per 100,000 population",9.02,Gross enrollment ratio - Tertiary (male),8.4177
1752,Bangladesh,2005,"Theft at the national level, rate per 100,000 population",9.02,Gross enrollment ratio - Tertiary (female),4.398
1758,Bangladesh,2010,"Intentional homicide rates per 100,000",2.7023,Gross enrollment ratio - Primary (male),102.8255
1759,Bangladesh,2010,"Intentional homicide rates per 100,000",2.7023,Gross enrollment ratio - Primary (female),109.2535
1761,Bangladesh,2010,"Intentional homicide rates per 100,000",2.7023,Gross enrollment ratio - Secondary (male),48.7196
1762,Bangladesh,2010,"Intentional homicide rates per 100,000",2.7023,Gross enrollment ratio - Secondary (female),54.6751
1765,Barbados,2005,"Intentional homicide rates per 100,000",10.4951,Gross enrollment ratio - Primary (male),96.3096
1766,Barbados,2005,"Intentional homicide rates per 100,000",10.4951,Gross enrollment ratio - Primary (female),95.9429
1768,Barbados,2005,"Intentional homicide rates per 100,000",10.4951,Gross enrollment ratio - Secondary (male),109.1129
1769,Barbados,2005,"Intentional homicide rates per 100,000",10.4951,Gross enrollment ratio - Secondary (female),107.9563
1771,Barbados,2005,"Percentage of male and female intentional homicide victims, Male",14.9587,Gross enrollment ratio - Primary (male),96.3096
1772,Barbados,2005,"Percentage of male and female intentional homicide victims, Male",14.9587,Gross enrollment ratio - Primary (female),95.9429
1774,Barbados,2005,"Percentage of male and female intentional homicide victims, Male",14.9587,Gross enrollment ratio - Secondary (male),109.1129
1775,Barbados,2005,"Percentage of male and female intentional homicide victims, Male",14.9587,Gross enrollment ratio - Secondary (female),107.9563
1777,Barbados,2005,"Percentage of male and female intentional homicide victims, Female",6.3741,Gross enrollment ratio - Primary (male),96.3096
1778,Barbados,2005,"Percentage of male and female intentional homicide victims, Female",6.3741,Gross enrollment ratio - Primary (female),95.9429
1780,Barbados,2005,"Percentage of male and female intentional homicide victims, Female",6.3741,Gross enrollment ratio - Secondary (male),109.1129
1781,Barbados,2005,"Percentage of male and female intentional homicide victims, Female",6.3741,Gross enrollment ratio - Secondary (female),107.9563
1783,Barbados,2005,"Assault rate per 100,000 population",627.17,Gross enrollment ratio - Primary (male),96.3096
1784,Barbados,2005,"Assault rate per 100,000 population",627.17,Gross enrollment ratio - Primary (female),95.9429
1786,Barbados,2005,"Assault rate per 100,000 population",627.17,Gross enrollment ratio - Secondary (male),109.1129
1787,Barbados,2005,"Assault rate per 100,000 population",627.17,Gross enrollment ratio - Secondary (female),107.9563
1789,Barbados,2005,"Kidnapping at the national level, rate per 100,000",8.324,Gross enrollment ratio - Primary (male),96.3096
1790,Barbados,2005,"Kidnapping at the national level, rate per 100,000",8.324,Gross enrollment ratio - Primary (female),95.9429
1792,Barbados,2005,"Kidnapping at the national level, rate per 100,000",8.324,Gross enrollment ratio - Secondary (male),109.1129
1793,Barbados,2005,"Kidnapping at the national level, rate per 100,000",8.324,Gross enrollment ratio - Secondary (female),107.9563
1795,Barbados,2005,"Theft at the national level, rate per 100,000 population",409.42,Gross enrollment ratio - Primary (male),96.3096
1796,Barbados,2005,"Theft at the national level, rate per 100,000 population",409.42,Gross enrollment ratio - Primary (female),95.9429
1798,Barbados,2005,"Theft at the national level, rate per 100,000 population",409.42,Gross enrollment ratio - Secondary (male),109.1129
1799,Barbados,2005,"Theft at the national level, rate per 100,000 population",409.42,Gross enrollment ratio - Secondary (female),107.9563
1801,Barbados,2005,"Total Sexual Violence at the national level, rate per 100,000",69.565,Gross enrollment ratio - Primary (male),96.3096
1802,Barbados,2005,"Total Sexual Violence at the national level, rate per 100,000",69.565,Gross enrollment ratio - Primary (female),95.9429
1804,Barbados,2005,"Total Sexual Violence at the national level, rate per 100,000",69.565,Gross enrollment ratio - Secondary (male),109.1129
1805,Barbados,2005,"Total Sexual Violence at the national level, rate per 100,000",69.565,Gross enrollment ratio - Secondary (female),107.9563
1807,Barbados,2010,"Intentional homicide rates per 100,000",10.9878,Gross enrollment ratio - Primary (male),98.8334
1808,Barbados,2010,"Intentional homicide rates per 100,000",10.9878,Gross enrollment ratio - Primary (female),100.3967
1810,Barbados,2010,"Intentional homicide rates per 100,000",10.9878,Gross enrollment ratio - Secondary (male),101.6855
1811,Barbados,2010,"Intentional homicide rates per 100,000",10.9878,Gross enrollment ratio - Secondary (female),102.1351
1813,Barbados,2010,"Intentional homicide rates per 100,000",10.9878,Gross enrollment ratio - Tertiary (male),43.8968
1814,Barbados,2010,"Intentional homicide rates per 100,000",10.9878,Gross enrollment ratio - Tertiary (female),95.814
1816,Barbados,2010,"Percentage of male and female intentional homicide victims, Male",16.9885,Gross enrollment ratio - Primary (male),98.8334
1817,Barbados,2010,"Percentage of male and female intentional homicide victims, Male",16.9885,Gross enrollment ratio - Primary (female),100.3967
1819,Barbados,2010,"Percentage of male and female intentional homicide victims, Male",16.9885,Gross enrollment ratio - Secondary (male),101.6855
1820,Barbados,2010,"Percentage of male and female intentional homicide victims, Male",16.9885,Gross enrollment ratio - Secondary (female),102.1351
1822,Barbados,2010,"Percentage of male and female intentional homicide victims, Male",16.9885,Gross enrollment ratio - Tertiary (male),43.8968
1823,Barbados,2010,"Percentage of male and female intentional homicide victims, Male",16.9885,Gross enrollment ratio - Tertiary (female),95.814
1825,Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.4516,Gross enrollment ratio - Primary (male),98.8334
1826,Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.4516,Gross enrollment ratio - Primary (female),100.3967
1828,Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.4516,Gross enrollment ratio - Secondary (male),101.6855
1829,Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.4516,Gross enrollment ratio - Secondary (female),102.1351
1831,Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.4516,Gross enrollment ratio - Tertiary (male),43.8968
1832,Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.4516,Gross enrollment ratio - Tertiary (female),95.814
1834,Barbados,2010,"Assault rate per 100,000 population",535.82,Gross enrollment ratio - Primary (male),98.8334
1835,Barbados,2010,"Assault rate per 100,000 population",535.82,Gross enrollment ratio - Primary (female),100.3967
1837,Barbados,2010,"Assault rate per 100,000 population",535.82,Gross enrollment ratio - Secondary (male),101.6855
1838,Barbados,2010,"Assault rate per 100,000 population",535.82,Gross enrollment ratio - Secondary (female),102.1351
1840,Barbados,2010,"Assault rate per 100,000 population",535.82,Gross enrollment ratio - Tertiary (male),43.8968
1841,Barbados,2010,"Assault rate per 100,000 population",535.82,Gross enrollment ratio - Tertiary (female),95.814
1843,Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.253,Gross enrollment ratio - Primary (male),98.8334
1844,Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.253,Gross enrollment ratio - Primary (female),100.3967
1846,Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.253,Gross enrollment ratio - Secondary (male),101.6855
1847,Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.253,Gross enrollment ratio - Secondary (female),102.1351
1849,Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.253,Gross enrollment ratio - Tertiary (male),43.8968
1850,Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.253,Gross enrollment ratio - Tertiary (female),95.814
1852,Barbados,2010,"Theft at the national level, rate per 100,000 population",732.98,Gross enrollment ratio - Primary (male),98.8334
1853,Barbados,2010,"Theft at the national level, rate per 100,000 population",732.98,Gross enrollment ratio - Primary (female),100.3967
1855,Barbados,2010,"Theft at the national level, rate per 100,000 population",732.98,Gross enrollment ratio - Secondary (male),101.6855
1856,Barbados,2010,"Theft at the national level, rate per 100,000 population",732.98,Gross enrollment ratio - Secondary (female),102.1351
1858,Barbados,2010,"Theft at the national level, rate per 100,000 population",732.98,Gross enrollment ratio - Tertiary (male),43.8968
1859,Barbados,2010,"Theft at the national level, rate per 100,000 population",732.98,Gross enrollment ratio - Tertiary (female),95.814
1861,Barbados,2010,"Robbery at the national level, rate per 100,000 population",172.695,Gross enrollment ratio - Primary (male),98.8334
1862,Barbados,2010,"Robbery at the national level, rate per 100,000 population",172.695,Gross enrollment ratio - Primary (female),100.3967
1864,Barbados,2010,"Robbery at the national level, rate per 100,000 population",172.695,Gross enrollment ratio - Secondary (male),101.6855
1865,Barbados,2010,"Robbery at the national level, rate per 100,000 population",172.695,Gross enrollment ratio - Secondary (female),102.1351
1867,Barbados,2010,"Robbery at the national level, rate per 100,000 population",172.695,Gross enrollment ratio - Tertiary (male),43.8968
1868,Barbados,2010,"Robbery at the national level, rate per 100,000 population",172.695,Gross enrollment ratio - Tertiary (female),95.814
1870,Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",59.929,Gross enrollment ratio - Primary (male),98.8334
1871,Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",59.929,Gross enrollment ratio - Primary (female),100.3967
1873,Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",59.929,Gross enrollment ratio - Secondary (male),101.6855
1874,Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",59.929,Gross enrollment ratio - Secondary (female),102.1351
1876,Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",59.929,Gross enrollment ratio - Tertiary (male),43.8968
1877,Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",59.929,Gross enrollment ratio - Tertiary (female),95.814
1894,Belarus,2005,"Intentional homicide rates per 100,000",8.6278,Gross enrollment ratio - Primary (male),100.0308
1895,Belarus,2005,"Intentional homicide rates per 100,000",8.6278,Gross enrollment ratio - Primary (female),96.7394
1897,Belarus,2005,"Intentional homicide rates per 100,000",8.6278,Gross enrollment ratio - Tertiary (male),57.2247
1898,Belarus,2005,"Intentional homicide rates per 100,000",8.6278,Gross enrollment ratio - Tertiary (female),78.3719
1900,Belarus,2005,"Assault rate per 100,000 population",20.03,Gross enrollment ratio - Primary (male),100.0308
1901,Belarus,2005,"Assault rate per 100,000 population",20.03,Gross enrollment ratio - Primary (female),96.7394
1903,Belarus,2005,"Assault rate per 100,000 population",20.03,Gross enrollment ratio - Tertiary (male),57.2247
1904,Belarus,2005,"Assault rate per 100,000 population",20.03,Gross enrollment ratio - Tertiary (female),78.3719
1906,Belarus,2005,"Kidnapping at the national level, rate per 100,000",0.376,Gross enrollment ratio - Primary (male),100.0308
1907,Belarus,2005,"Kidnapping at the national level, rate per 100,000",0.376,Gross enrollment ratio - Primary (female),96.7394
1909,Belarus,2005,"Kidnapping at the national level, rate per 100,000",0.376,Gross enrollment ratio - Tertiary (male),57.2247
1910,Belarus,2005,"Kidnapping at the national level, rate per 100,000",0.376,Gross enrollment ratio - Tertiary (female),78.3719
1912,Belarus,2005,"Theft at the national level, rate per 100,000 population",1079.23,Gross enrollment ratio - Primary (male),100.0308
1913,Belarus,2005,"Theft at the national level, rate per 100,000 population",1079.23,Gross enrollment ratio - Primary (female),96.7394
1915,Belarus,2005,"Theft at the national level, rate per 100,000 population",1079.23,Gross enrollment ratio - Tertiary (male),57.2247
1916,Belarus,2005,"Theft at the national level, rate per 100,000 population",1079.23,Gross enrollment ratio - Tertiary (female),78.3719
1918,Belarus,2005,"Total Sexual Violence at the national level, rate per 100,000",8.565,Gross enrollment ratio - Primary (male),100.0308
1919,Belarus,2005,"Total Sexual Violence at the national level, rate per 100,000",8.565,Gross enrollment ratio - Primary (female),96.7394
1921,Belarus,2005,"Total Sexual Violence at the national level, rate per 100,000",8.565,Gross enrollment ratio - Tertiary (male),57.2247
1922,Belarus,2005,"Total Sexual Violence at the national level, rate per 100,000",8.565,Gross enrollment ratio - Tertiary (female),78.3719
1924,Belarus,2010,"Intentional homicide rates per 100,000",4.2566,Gross enrollment ratio - Primary (male),104.4738
1925,Belarus,2010,"Intentional homicide rates per 100,000",4.2566,Gross enrollment ratio - Primary (female),104.2598
1927,Belarus,2010,"Intentional homicide rates per 100,000",4.2566,Gross enrollment ratio - Secondary (male),109.9376
1928,Belarus,2010,"Intentional homicide rates per 100,000",4.2566,Gross enrollment ratio - Secondary (female),106.4123
1930,Belarus,2010,"Intentional homicide rates per 100,000",4.2566,Gross enrollment ratio - Tertiary (male),65.3916
1931,Belarus,2010,"Intentional homicide rates per 100,000",4.2566,Gross enrollment ratio - Tertiary (female),94.592
1933,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6.0506,Gross enrollment ratio - Primary (male),104.4738
1934,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6.0506,Gross enrollment ratio - Primary (female),104.2598
1936,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6.0506,Gross enrollment ratio - Secondary (male),109.9376
1937,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6.0506,Gross enrollment ratio - Secondary (female),106.4123
1939,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6.0506,Gross enrollment ratio - Tertiary (male),65.3916
1940,Belarus,2010,"Percentage of male and female intentional homicide victims, Male",6.0506,Gross enrollment ratio - Tertiary (female),94.592
1942,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.698,Gross enrollment ratio - Primary (male),104.4738
1943,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.698,Gross enrollment ratio - Primary (female),104.2598
1945,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.698,Gross enrollment ratio - Secondary (male),109.9376
1946,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.698,Gross enrollment ratio - Secondary (female),106.4123
1948,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.698,Gross enrollment ratio - Tertiary (male),65.3916
1949,Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.698,Gross enrollment ratio - Tertiary (female),94.592
1951,Belarus,2010,"Assault rate per 100,000 population",12.29,Gross enrollment ratio - Primary (male),104.4738
1952,Belarus,2010,"Assault rate per 100,000 population",12.29,Gross enrollment ratio - Primary (female),104.2598
1954,Belarus,2010,"Assault rate per 100,000 population",12.29,Gross enrollment ratio - Secondary (male),109.9376
1955,Belarus,2010,"Assault rate per 100,000 population",12.29,Gross enrollment ratio - Secondary (female),106.4123
1957,Belarus,2010,"Assault rate per 100,000 population",12.29,Gross enrollment ratio - Tertiary (male),65.3916
1958,Belarus,2010,"Assault rate per 100,000 population",12.29,Gross enrollment ratio - Tertiary (female),94.592
1960,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.202,Gross enrollment ratio - Primary (male),104.4738
1961,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.202,Gross enrollment ratio - Primary (female),104.2598
1963,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.202,Gross enrollment ratio - Secondary (male),109.9376
1964,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.202,Gross enrollment ratio - Secondary (female),106.4123
1966,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.202,Gross enrollment ratio - Tertiary (male),65.3916
1967,Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.202,Gross enrollment ratio - Tertiary (female),94.592
1969,Belarus,2010,"Theft at the national level, rate per 100,000 population",781.13,Gross enrollment ratio - Primary (male),104.4738
1970,Belarus,2010,"Theft at the national level, rate per 100,000 population",781.13,Gross enrollment ratio - Primary (female),104.2598
1972,Belarus,2010,"Theft at the national level, rate per 100,000 population",781.13,Gross enrollment ratio - Secondary (male),109.9376
1973,Belarus,2010,"Theft at the national level, rate per 100,000 population",781.13,Gross enrollment ratio - Secondary (female),106.4123
1975,Belarus,2010,"Theft at the national level, rate per 100,000 population",781.13,Gross enrollment ratio - Tertiary (male),65.3916
1976,Belarus,2010,"Theft at the national level, rate per 100,000 population",781.13,Gross enrollment ratio - Tertiary (female),94.592
1978,Belarus,2010,"Robbery at the national level, rate per 100,000 population",50.26,Gross enrollment ratio - Primary (male),104.4738
1979,Belarus,2010,"Robbery at the national level, rate per 100,000 population",50.26,Gross enrollment ratio - Primary (female),104.2598
1981,Belarus,2010,"Robbery at the national level, rate per 100,000 population",50.26,Gross enrollment ratio - Secondary (male),109.9376
1982,Belarus,2010,"Robbery at the national level, rate per 100,000 population",50.26,Gross enrollment ratio - Secondary (female),106.4123
1984,Belarus,2010,"Robbery at the national level, rate per 100,000 population",50.26,Gross enrollment ratio - Tertiary (male),65.3916
1985,Belarus,2010,"Robbery at the national level, rate per 100,000 population",50.26,Gross enrollment ratio - Tertiary (female),94.592
1987,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.885,Gross enrollment ratio - Primary (male),104.4738
1988,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.885,Gross enrollment ratio - Primary (female),104.2598
1990,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.885,Gross enrollment ratio - Secondary (male),109.9376
1991,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.885,Gross enrollment ratio - Secondary (female),106.4123
1993,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.885,Gross enrollment ratio - Tertiary (male),65.3916
1994,Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.885,Gross enrollment ratio - Tertiary (female),94.592
